id,tipo,x,y
N176,E,528,479
N177,R,539,622
N178,S,752,212
N179,A,770,391
N180,I,782,548
N181,E,123,310
N182,E,149,417
N183,I,208,557
N184,S,537,238
N185,R,488,422
N186,E,529,513
N187,R,834,236
N188,E,741,425
N189,Q,848,497
N190,Q,168,200
N191,E,186,334
N192,Q,163,652
N193,Q,445,335
N194,R,484,358
N195,R,557,624
N196,S,812,217
N197,R,863,379
N198,S,771,460
N199,E,218,305
N200,I,196,319
N201,Q,122,460
N202,Q,158,522
N203,E,553,277
N204,S,504,383
N205,I,461,539
N206,S,820,194
N207,A,878,385
N208,R,865,524
N209,A,194,184
N210,R,155,403
N211,Q,201,506
N212,E,521,228
N213,I,452,454
N214,S,439,634
N215,A,740,234
N216,S,713,393
N217,A,829,572
N218,A,202,205
N219,I,190,341
N220,Q,210,482
N221,Q,480,212
N222,Q,416,429
N223,I,486,540
N224,S,785,252
N225,S,756,381
N226,A,755,551
N227,I,157,210
N228,A,190,403
N229,A,160,486
N230,S,417,330
N231,E,432,416
N232,R,521,503
N233,Q,854,188
N234,S,806,450
N235,A,711,484
N236,S,231,228
N237,E,145,400
N238,A,140,590
N239,A,443,285
N240,E,498,471
N241,R,567,600
N242,Q,880,274
N243,I,715,428
N244,S,830,586
N245,A,242,178
N246,I,191,467
N247,S,127,566
N248,R,506,228
N249,S,397,428
N250,S,397,565
N251,R,766,199
N252,E,789,396
N253,A,819,613
N254,S,256,207
N255,A,225,446
N256,A,159,483
N257,S,454,193
N258,E,409,430
N259,R,462,497
N260,S,791,282
N261,I,788,374
N262,A,810,518
N263,A,172,163
N264,A,162,395
N265,S,212,582
N266,Q,529,301
N267,S,437,325
N268,A,424,572
N269,R,755,299
N270,E,780,340
N271,A,792,487
N272,S,163,320
N273,A,193,466
N274,I,142,631
N275,S,429,230
N276,S,474,357
N277,R,475,530
N278,S,738,181
N279,E,707,427
N280,A,730,527
N281,A,138,272
N282,Q,189,352
N283,R,216,493
N284,R,509,178
N285,E,456,450
N286,Q,417,551
N287,R,815,216
N288,E,801,471
N289,A,769,518
N290,E,239,315
N291,R,256,302
N292,A,104,503
N293,S,485,316
N294,I,550,361
N295,A,461,580
N296,A,720,201
N297,R,819,334
N298,A,850,537
N299,E,193,333
N300,A,125,267
N301,I,130,402
N302,E,238,599
N303,A,514,227
N304,A,531,472
N305,S,482,511
N306,E,718,276
N307,R,844,400
N308,E,739,562
N309,S,118,276
N310,E,277,479
N311,E,253,622
N312,E,461,222
N313,R,467,363
N314,A,447,599
N315,A,720,207
N316,I,743,405
N317,A,886,503
N318,Q,171,265
N319,R,151,406
N320,S,288,583
N321,I,569,306
N322,E,531,408
N323,Q,442,564
N324,R,833,312
N325,A,739,493
N326,S,754,583
N327,A,282,281
N328,I,213,413
N329,S,120,538
N330,R,406,304
N331,Q,477,450
N332,I,541,559
N333,R,767,290
N334,S,794,477
N335,R,752,490
N336,I,188,306
N337,S,263,437
N338,R,122,533
N339,Q,558,274
N340,A,526,474
N341,R,577,576
N342,Q,891,250
N343,S,779,369
N344,Q,761,596
N345,R,258,193
N346,S,161,343
N347,A,106,610
N348,A,496,258
N349,S,436,375
N350,R,504,506
N351,A,805,239
N352,E,744,307
N353,Q,728,616
N354,E,282,181
N355,A,207,377
N356,Q,131,588
N357,S,541,185
N358,Q,513,370
N359,I,416,503
N360,E,769,338
N361,Q,829,418
N362,I,789,572
N363,I,114,153
N364,S,288,420
N365,Q,185,520
N366,A,551,301
N367,R,446,463
N368,S,424,526
N369,A,872,303
N370,S,798,405
N371,S,780,461
N372,Q,189,259
N373,I,205,440
N374,S,187,548
N375,Q,436,198
N376,R,474,331
N377,Q,525,510
N378,I,803,300
N379,S,715,395
N380,I,755,527
N381,Q,210,202
N382,R,127,337
N383,Q,211,562
N384,I,605,198
N385,A,454,347
N386,I,464,576
N387,S,868,171
N388,I,861,337
N389,E,745,454
N390,R,244,252
N391,Q,260,337
N392,I,260,598
N393,I,397,333
N394,A,461,472
N395,R,538,648
N396,Q,834,295
N397,Q,828,333
N398,E,735,512
N399,I,252,215
N400,Q,127,211
N401,E,201,349
N402,R,245,569
N403,E,401,258
N404,I,553,454
N405,R,440,543
N406,R,735,258
N407,R,775,374
N408,S,849,529
N409,A,186,244
N410,A,292,368
N411,A,150,503
N412,E,603,221
N413,R,428,401
N414,Q,460,605
N415,R,783,191
N416,A,838,334
N417,E,835,450
N418,E,144,313
N419,A,169,382
N420,Q,257,614
N421,E,558,289
N422,R,486,385
N423,Q,458,604
N424,S,805,177
N425,S,778,497
N426,R,817,638
N427,R,261,182
N428,A,239,359
N429,Q,247,566
N430,Q,489,297
N431,A,472,352
N432,I,450,577
N433,Q,768,166
N434,A,820,419
N435,I,799,474
N436,A,242,159
N437,A,160,427
N438,S,139,545
N439,A,467,251
N440,E,515,356
N441,R,563,589
N442,A,756,277
N443,I,801,464
N444,Q,796,528
N445,R,256,194
N446,E,134,451
N447,E,194,604
N448,S,442,292
N449,R,551,457
N450,E,417,569
N451,A,784,200
N452,S,781,329
N453,R,729,605
N454,S,249,198
N455,I,210,363
N456,S,251,564
N457,I,425,232
N458,S,443,420
N459,R,426,553
N460,S,837,333
N461,R,816,459
N462,I,860,622
N463,E,219,294
N464,Q,235,367
N465,A,243,468
N466,R,440,228
N467,Q,414,357
N468,E,531,572
N469,A,859,337
N470,S,837,417
N471,R,786,618
N472,Q,299,230
N473,S,162,404
N474,S,175,621
N475,R,468,169
N476,Q,510,413
N477,I,555,597
N478,E,766,254
N479,S,716,325
N480,R,773,570
N481,Q,246,240
N482,Q,128,423
N483,A,256,616
N484,E,551,229
N485,Q,515,388
N486,Q,507,476
N487,I,736,228
N488,S,814,414
N489,I,754,532
N490,R,162,227
N491,A,293,353
N492,S,178,504
N493,A,472,231
N494,E,446,411
N495,A,411,546
N496,A,829,275
N497,A,784,448
N498,Q,847,460
N499,S,175,211
N500,S,146,332
N501,I,137,390
N502,A,207,537
N503,R,482,312
N504,A,580,450
N505,I,554,579
N506,S,755,287
N507,A,792,439
N508,A,838,547
N509,I,210,256
N510,E,191,474
N511,S,240,610
N512,A,591,247
N513,A,508,446
N514,S,524,506
N515,E,740,149
N516,R,820,447
N517,S,880,530
N518,Q,104,313
N519,S,241,400
N520,I,136,587
N521,S,520,200
N522,Q,509,365
N523,I,436,477
N524,E,794,208
N525,A,795,408
N526,R,731,502
N527,I,156,312
N528,S,172,367
N529,Q,125,533
N530,E,444,255
N531,I,546,383
N532,R,461,534
N533,I,841,228
N534,Q,744,350
N535,R,849,485
N536,S,150,213
N537,Q,220,475
N538,I,170,598
N539,Q,553,212
N540,I,577,374
N541,A,578,601
N542,A,759,201
N543,A,823,341
N544,R,893,612
N545,E,175,171
N546,Q,174,458
N547,E,127,634
N548,A,483,262
N549,A,531,311
N550,E,520,635
N551,A,790,339
N552,Q,848,320
N553,I,709,499
N554,I,256,283
N555,I,167,328
N556,Q,257,568
N557,S,489,286
N558,E,515,489
N559,I,512,549
N560,A,760,269
N561,A,780,367
N562,A,808,518
N563,R,135,278
N564,R,139,368
N565,E,216,624
N566,R,510,247
N567,I,515,466
N568,I,497,507
N569,A,809,316
N570,S,771,355
N571,S,723,502
N572,R,285,291
N573,A,192,422
N574,I,194,606
N575,A,519,170
N576,Q,442,421
N577,Q,510,619
N578,I,791,204
N579,Q,839,353
N580,R,856,504
N581,R,150,294
N582,S,271,469
N583,R,258,612
N584,R,495,219
N585,S,577,396
N586,A,500,532
N587,R,759,277
N588,Q,704,365
N589,E,741,518
N590,I,276,267
N591,S,277,358
N592,A,103,549
N593,I,529,242
N594,A,498,371
N595,I,413,533
N596,E,751,282
N597,E,746,438
N598,S,853,551
N599,E,228,338
N600,Q,212,238
N601,S,214,379
N602,A,156,521
N603,R,402,214
N604,R,455,471
N605,E,497,590
N606,Q,730,186
N607,S,763,471
N608,Q,887,528
N609,A,176,292
N610,A,235,411
N611,A,130,592
N612,R,443,143
N613,Q,544,341
N614,A,487,577
N615,R,783,221
N616,Q,751,390
N617,I,751,500
N618,A,128,295
N619,S,217,352
N620,Q,151,502
N621,I,552,222
N622,E,445,421
N623,S,466,585
N624,Q,770,182
N625,Q,723,411
N626,I,828,637
N627,E,230,327
N628,R,265,458
N629,I,111,591
N630,I,559,202
N631,E,552,349
N632,S,499,580
N633,R,820,310
N634,R,831,433
N635,E,743,560
N636,Q,195,281
N637,Q,254,374
N638,R,182,453
N639,R,536,194
N640,A,495,387
N641,E,577,619
N642,A,834,228
N643,R,838,368
N644,Q,884,484
N645,E,217,318
N646,R,223,347
N647,Q,161,564
N648,A,559,226
N649,R,506,331
N650,S,425,489
N651,E,759,272
N652,I,840,351
N653,S,848,578
N654,R,163,221
N655,E,282,471
N656,I,159,461
N657,E,464,194
N658,Q,561,400
N659,Q,515,526
N660,S,847,221
N661,S,798,418
N662,R,829,568
N663,I,246,168
N664,S,226,342
N665,I,266,552
N666,R,544,240
N667,E,406,352
N668,R,549,590
N669,E,888,263
N670,R,792,339
N671,E,766,575
N672,R,205,286
N673,E,285,452
N674,I,234,588
N675,E,462,167
N676,Q,555,406
N677,A,495,578
N678,R,783,234
N679,Q,749,462
N680,E,841,623
N681,I,201,284
N682,R,124,326
N683,Q,155,480
N684,S,518,176
N685,R,440,408
N686,S,573,515
N687,S,727,246
N688,E,755,352
N689,Q,738,548
N690,S,221,246
N691,A,148,398
N692,Q,132,575
N693,I,524,330
N694,S,530,470
N695,R,534,620
N696,R,810,262
N697,E,847,419
N698,A,857,490
N699,S,146,317
N700,I,203,228
N701,E,129,350
N702,R,166,515
N703,I,542,307
N704,E,589,466
N705,E,471,508
N706,I,840,227
N707,A,853,393
N708,R,889,586
N709,E,142,197
N710,I,258,417
N711,R,158,597
N712,R,580,225
N713,S,461,327
N714,Q,553,579
N715,I,773,251
N716,E,695,449
N717,E,890,520
N718,E,204,260
N719,S,226,452
N720,A,234,553
N721,R,461,182
N722,A,486,328
N723,E,443,562
N724,E,748,286
N725,Q,804,440
N726,S,827,484
N727,Q,281,281
N728,S,270,377
N729,A,203,555
N730,R,456,220
N731,S,447,403
N732,E,571,565
N733,E,751,193
N734,S,792,346
N735,I,751,525
N736,I,268,301
N737,Q,169,395
N738,Q,190,495
N739,E,558,327
N740,Q,530,414
N741,A,543,566
N742,A,877,273
N743,Q,807,463
N744,R,849,503
N745,S,279,237
N746,I,208,415
N747,Q,171,531
N748,A,558,207
N749,A,416,420
N750,R,441,515
N751,R,779,266
N752,E,765,457
N753,E,774,523
N754,Q,273,232
N755,S,154,408
N756,E,140,491
N757,I,473,235
N758,R,518,483
N759,A,441,583
N760,S,770,217
N761,E,764,426
N762,E,824,500
N763,E,163,282
N764,Q,167,319
N765,A,267,590
N766,E,465,219
N767,I,497,433
N768,S,424,500
N769,A,824,248
N770,Q,811,376
N771,A,712,477
N772,I,218,296
N773,R,134,389
N774,I,96,558
N775,R,434,158
N776,S,555,403
N777,A,540,562
N778,R,827,234
N779,Q,747,327
N780,A,730,549
N781,R,177,226
N782,R,135,388
N783,A,153,527
N784,R,457,170
N785,I,439,409
N786,A,573,509
N787,A,782,209
N788,A,828,362
N789,S,712,606
N790,A,168,251
N791,E,174,337
N792,R,154,555
N793,E,431,296
N794,I,404,409
N795,R,410,522
N796,R,848,215
N797,Q,854,331
N798,A,747,547
N799,R,227,271
N800,E,138,179
N801,Q,143,338
N802,R,223,564
N803,I,541,310
N804,I,435,412
N805,S,418,607
N806,S,790,234
N807,I,870,355
N808,I,876,493
N809,S,208,159
N810,R,157,420
N811,E,192,583
N812,R,590,211
N813,Q,463,444
N814,A,534,612
N815,A,793,262
N816,I,765,389
N817,A,877,497
N818,Q,145,336
N819,I,96,441
N820,I,141,606
N821,S,596,193
N822,Q,544,368
N823,E,418,581
N824,E,745,312
N825,Q,718,341
N826,R,813,550
N827,I,143,238
N828,E,196,434
N829,Q,159,505
N830,I,428,319
N831,E,522,335
N832,E,481,511
N833,R,767,236
N834,R,821,364
N835,S,859,502
N836,S,213,217
N837,S,264,428
N838,A,153,504
N839,E,518,259
N840,E,466,396
N841,Q,573,482
N842,E,820,308
N843,Q,697,466
N844,I,759,572
N845,R,171,299
N846,Q,209,396
N847,E,208,603
N848,I,441,186
N849,A,419,366
N850,A,493,548
N851,Q,748,282
N852,Q,772,367
N853,R,793,540
N854,Q,274,214
N855,R,175,427
N856,A,133,523
N857,E,536,181
N858,S,520,373
N859,R,550,522
N860,S,849,321
N861,A,790,488
N862,R,814,510
N863,R,170,306
N864,I,200,397
N865,S,222,474
N866,Q,475,331
N867,S,505,416
N868,I,530,623
N869,Q,839,255
N870,I,744,430
N871,E,803,550
N872,R,170,330
N873,A,173,478
N874,E,190,562
N875,I,410,243
N876,A,495,472
N877,R,526,591
N878,E,844,297
N879,R,788,362
N880,A,819,617
N881,A,181,239
N882,R,195,422
N883,I,222,562
N884,S,544,203
N885,I,443,343
N886,Q,506,576
N887,S,795,187
N888,Q,781,471
N889,A,809,524
N890,R,241,300
N891,Q,168,409
N892,R,255,524
N893,I,509,336
N894,E,521,428
N895,A,481,559
N896,Q,720,187
N897,S,768,355
N898,R,852,484
N899,I,273,208
N900,R,149,197
N901,R,162,447
N902,S,248,478
N903,R,408,276
N904,A,579,320
N905,A,452,493
N906,I,838,212
N907,E,780,457
N908,S,770,601
N909,S,184,248
N910,A,263,468
N911,S,222,597
N912,Q,529,173
N913,I,453,478
N914,Q,558,649
N915,I,789,162
N916,S,747,404
N917,Q,907,572
N918,E,189,311
N919,I,237,438
N920,E,174,582
N921,I,584,268
N922,I,448,325
N923,R,399,619
N924,I,877,170
N925,R,722,405
N926,S,706,560
N927,Q,257,233
N928,S,181,436
N929,I,218,554
N930,R,516,316
N931,R,514,422
N932,I,466,475
N933,I,751,227
N934,I,751,345
N935,I,776,600
N936,S,204,279
N937,S,267,416
N938,S,221,530
N939,S,505,295
N940,E,438,467
N941,A,432,508
N942,R,805,236
N943,E,831,464
N944,A,894,530
N945,E,222,204
N946,I,202,400
N947,S,124,628
N948,I,543,179
N949,R,544,401
N950,I,426,529
N951,S,868,201
N952,A,766,385
N953,Q,719,507
N954,S,282,198
N955,I,219,395
N956,Q,165,492
N957,A,547,192
N958,Q,459,370
N959,A,547,474
N960,Q,869,190
N961,E,817,364
N962,E,823,546
N963,R,101,266
N964,E,259,387
N965,A,218,480
N966,E,432,273
N967,I,532,446
N968,I,515,654
N969,E,768,185
N970,I,853,448
N971,S,765,576
N972,S,272,337
N973,R,175,432
N974,I,151,643
N975,A,441,169
N976,Q,525,378
N977,S,542,558
N978,I,765,207
N979,R,846,391
N980,S,777,555
N981,R,227,294
N982,R,242,346
N983,E,182,534
N984,R,521,264
N985,A,418,441
N986,A,453,589
N987,Q,789,231
N988,A,735,353
N989,E,717,575
N990,E,284,334
N991,I,247,318
N992,E,145,540
N993,S,454,306
N994,E,561,459
N995,E,541,516
N996,A,838,293
N997,A,794,352
N998,Q,745,475
N999,Q,227,250
T0,T,194,255
T1,T,171,392
T2,T,183,523
T3,T,476,256
T4,T,510,394
T5,T,482,569
T6,T,796,261
T7,T,799,412
T8,T,815,539
T9,T,188,223
T10,T,214,427
T11,T,185,550
T12,T,523,221
T13,T,478,402
T14,T,496,571
T15,T,783,225
T16,T,773,392
T17,T,827,530
T18,T,182,279
T19,T,174,386
T20,T,216,541
T21,T,525,237
T22,T,478,387
T23,T,474,548
T24,T,810,248
T25,T,782,419
T26,T,785,564
T27,T,202,248
T28,T,230,423
T29,T,178,561
T30,T,484,265
T31,T,492,378
T32,T,491,548
T33,T,823,241
T34,T,771,402
T35,T,790,553
T36,T,226,231
T37,T,191,400
T38,T,190,532
T39,T,514,262
T40,T,511,398
T41,T,506,554
T42,T,825,241
T43,T,773,419
T44,T,826,558
T45,T,225,247
T46,T,194,401
T47,T,184,560
T48,T,504,240
T49,T,476,387
T50,T,473,563
T51,T,828,263
T52,T,794,387
T53,T,788,544
T54,T,226,260
T55,T,211,398
T56,T,204,535
T57,T,500,257
T58,T,485,419
T59,T,478,529
T60,T,815,270
T61,T,777,423
T62,T,787,563
T63,T,177,229
T64,T,209,385
T65,T,205,548
T66,T,480,259
T67,T,481,388
T68,T,487,579
T69,T,822,263
T70,T,808,392
T71,T,778,538
T72,T,219,277
T73,T,211,415
T74,T,170,579
T75,T,482,228
T76,T,498,401
T77,T,504,563
T78,T,786,243
T79,T,786,393
T80,T,802,549
T81,T,201,261
T82,T,200,395
T83,T,188,553
T84,T,529,238
T85,T,498,420
T86,T,493,528
T87,T,799,220
T88,T,782,394
T89,T,786,533
T90,T,206,276
T91,T,221,373
T92,T,182,574
T93,T,474,256
T94,T,481,408
T95,T,479,573
T96,T,776,232
T97,T,801,374
T98,T,795,540
T99,T,196,273
